S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
09/30/2010,2042.89,,09/30/2010,726.46,,09/30/2010,0.29,,09/30/2010,1141.2,,NFG US Equity,4.71T,702.60B,38.9,,ZIM AU Equity,570.95B,36.77B,6.29
08/31/2010,1862.33,,08/31/2010,693.48,,08/31/2010,0.29563,,08/31/2010,1049.33,,PGAS IJ Equity,4.33T,534.40B,15.92,,PSAB IJ Equity,566.04B,247.96B,100
07/30/2010,2017.05,,07/30/2010,656.56,,07/30/2010,0.45375,,07/30/2010,1101.6,,ARX CN Equity,4.17T,866.02B,88.61,,PX PM Equity,563.90B,121.81B,54.41
06/30/2010,1952.16,,06/30/2010,693.1,,06/30/2010,0.53394,,06/30/2010,1030.71,,OINL IN Equity,4.14T,1.54T,93.96,,PDL CN Equity,538.02B,18.63B,7.86
05/31/2010,1944.1,,05/31/2010,675.84,,05/31/2010,0.53625,,05/31/2010,1089.41,,SNG RO Equity,4.06T,816.32B,74.14,,ASR CN Equity,536.42B,236.30B,100
04/30/2010,2344.57,,04/30/2010,657.63,,04/30/2010,0.34656,,04/30/2010,1186.69,,PDCE US Equity,4.00T,1.03T,97.25,,600311 CH Equity,517.84B,27.84B,100
03/31/2010,2265.82,,03/31/2010,620.68,,03/31/2010,0.2915,,03/31/2010,1169.43,,WLL US Equity,3.93T,1.68T,100,,SVM CN Equity,509.17B,3.84B,2.05
02/26/2010,2149.92,,02/26/2010,623.77,,02/26/2010,0.25169,,02/26/2010,1104.49,,PPL PA Equity,3.90T,1.26T,100,,ATYM LN Equity,485.73B,126.71B,100
01/29/2010,1993.19,,01/29/2010,604.16,,01/29/2010,0.24906,,01/29/2010,1073.87,,000959 CH Equity,3.89T,28.47B,0.28,,DCN AU Equity,480.76B,,
12/31/2009,2183.65,,12/31/2009,611.78,,12/31/2009,0.25063,,12/31/2009,1115.1,,MTDR US Equity,3.87T,604.13B,100,,NCZ AU Equity,471.15B,0,
11/30/2009,2187.31,,11/30/2009,659.79,,11/30/2009,0.25656,,11/30/2009,1095.63,,CNX US Equity,3.86T,942.81B,57.33,,GSV CN Equity,466.80B,,
10/30/2009,2180.29,,10/30/2009,581.3,,10/30/2009,0.28063,,10/30/2009,1036.19,,DEDRL IT Equity,3.74T,476.55B,100,,WGX AU Equity,452.36B,375.71B,100
09/30/2009,2007.58,,09/30/2009,563.89,,09/30/2009,0.28688,,09/30/2009,1057.08,,RRC US Equity,3.66T,2.72T,100,,PG CN Equity,449.62B,226.95B,100
08/31/2009,2021.87,,08/31/2009,532.65,,08/31/2009,0.3475,,08/31/2009,1020.63,,VNOM US Equity,3.49T,194.42B,100,,PODERC1 PE Equity,443.34B,95.23B,98.9
07/31/2009,2075.15,,07/31/2009,533.86,,07/31/2009,0.47938,,07/31/2009,987.48,,BANPU TB Equity,3.46T,41.57B,1.22,,TGZ CN Equity,429.95B,329.64B,100
06/30/2009,2082.82,,06/30/2009,519.52,,06/30/2009,0.595,,06/30/2009,919.32,,OAS US Equity,3.46T,,,,MLX AU Equity,427.79B,,
05/29/2009,2001.7,,05/29/2009,549.06,,05/29/2009,0.65625,,05/29/2009,919.14,,JAG US Equity,3.30T,299.14B,100,,CS CN Equity,422.77B,26.05B,3.76
04/30/2009,1582.18,,04/30/2009,500.13,,04/30/2009,1.01625,,04/30/2009,872.81,,WCP CN Equity,3.28T,724.67B,100,,EDR CN Equity,419.45B,74.75B,43.95
03/31/2009,1606.6,,03/31/2009,519.02,,03/31/2009,1.19188,,03/31/2009,797.87,,5021 JP Equity,3.21T,232.01B,0.96,,PRU AU Equity,408.34B,242.93B,100
02/27/2009,1511.03,,02/27/2009,529.98,,02/27/2009,1.26438,,02/27/2009,735.09,,LTS PW Equity,3.21T,274.17B,3.79,,000409 CH Equity,399.25B,706.53M,0.18
01/30/2009,1636.09,,01/30/2009,521.93,,01/30/2009,1.18438,,01/30/2009,825.88,,QEP US Equity,3.18T,1.82T,100,,ROXG CN Equity,389.12B,172.88B,100
12/31/2008,1837.39,,12/31/2008,497.95,,12/31/2008,1.425,,12/31/2008,903.25,,CPE US Equity,3.07T,414.17B,100,,AR CN Equity,358.54B,175.27B,100
11/28/2008,2312.34,,11/28/2008,461.16,,11/28/2008,2.21688,,11/28/2008,896.24,,ERF CN Equity,3.06T,801.34B,100,,AVZ AU Equity,353.26B,0,
10/31/2008,2894.99,,10/31/2008,405.33,,10/31/2008,3.02625,,10/31/2008,968.75,,VED LN Equity,3.05T,1.40T,10.56,,POG LN Equity,344.99B,568.24B,100
09/30/2008,4304.89,,09/30/2008,496.75,,09/30/2008,4.0525,,09/30/2008,1166.36,,CHK US Equity,2.93T,10.73T,100,,ASO CN Equity,337.65B,110.51B,100
08/29/2008,4934.78,,08/29/2008,470.41,,08/29/2008,2.81063,,08/29/2008,1282.83,,KOS US Equity,2.93T,763.49B,100,,AT PM Equity,325.17B,27.86B,10.38
07/31/2008,5322.78,,07/31/2008,518.95,,07/31/2008,2.79125,,07/31/2008,1267.38,,SRCI US Equity,2.84T,409.74B,100,,TKO CN Equity,313.41B,1.86B,0.52
06/30/2008,6027.56,,06/30/2008,526.88,,06/30/2008,2.78313,,06/30/2008,1280,,PXT CN Equity,2.73T,679.06B,100,,AGB CN Equity,304.79B,0,
05/30/2008,5534.82,,05/30/2008,505.16,,05/30/2008,2.68063,,05/30/2008,1400.38,,WRD US Equity,2.70T,484.50B,100,,GSC CN Equity,301.35B,356.56B,100
04/30/2008,4868.78,,04/30/2008,491.84,,04/30/2008,2.85,,04/30/2008,1385.59,,SWN US Equity,2.67T,2.37T,65.68,,EUR FP Equity,285.83B,,
03/31/2008,4353.22,,03/31/2008,523.33,,03/31/2008,2.68813,,03/31/2008,1322.7,,LPI US Equity,2.66T,720.43B,75.76,,GDRZF US Equity,282.31B,0,
02/29/2008,4281.23,,02/29/2008,555.76,,02/29/2008,3.0575,,02/29/2008,1330.63,,SM US Equity,2.65T,1.42T,99.47,,AMI AU Equity,274.51B,,
01/31/2008,3865.9,,01/31/2008,528.02,,01/31/2008,3.11188,,01/31/2008,1378.55,,RNFT RM Equity,2.62T,30.67B,1.68,,3788 HK Equity,272.58B,156.23B,52.42
12/31/2007,4002.4,,12/31/2007,479.22,,12/31/2007,4.7025,,12/31/2007,1468.35,,XOG US Equity,2.58T,662.56B,100,,TBR AU Equity,269.87B,117.36B,100
11/30/2007,3711.62,,11/30/2007,450.06,,11/30/2007,5.13125,,11/30/2007,1481.14,,467 HK Equity,2.55T,641.08B,99.53,,LMI LN Equity,259.98B,24.01B,1.8
10/31/2007,3842.94,,10/31/2007,456.14,,10/31/2007,4.89375,,10/31/2007,1549.38,,TELL US Equity,2.52T,0,,,BGM CN Equity,253.47B,0,
09/28/2007,3321,,09/28/2007,428.6,,09/28/2007,5.22875,,09/28/2007,1526.75,,600803 CH Equity,2.45T,43.77B,3.92,,BRIO CN Equity,252.24B,246.25B,100
08/31/2007,2987.97,,08/31/2007,388.44,,08/31/2007,5.62125,,08/31/2007,1473.99,,DLEN IT Equity,2.37T,485.04B,100,,PAF LN Equity,245.46B,245.14B,100
07/31/2007,3136.44,,07/31/2007,385.52,,07/31/2007,5.35866,,07/31/2007,1455.28,,002911 CH Equity,2.36T,,,,APX PM Equity,242.27B,86.00B,100
06/29/2007,2897.53,,06/29/2007,374.79,,06/29/2007,5.36,,06/29/2007,1503.35,,DNO NO Equity,2.30T,392.61B,100,,RMS AU Equity,240.54B,169.62B,100
05/31/2007,2682.18,,05/31/2007,382.44,,05/31/2007,5.36,,05/31/2007,1530.62,,DLEKG IT Equity,2.09T,715.94B,33.26,,AKG CN Equity,236.25B,275.07B,100
04/30/2007,2762.659,,04/30/2007,394.17,,04/30/2007,5.355,,04/30/2007,1482.37,,CNE LN Equity,1.97T,,,,PNR AU Equity,232.99B,54.93B,100
03/30/2007,2817.328,,03/30/2007,384.18,,03/30/2007,5.35,,03/30/2007,1420.86,,DANA UH Equity,1.95T,306.05B,100,,KOR CN Equity,230.72B,,
02/28/2007,2667.076,,02/28/2007,388.32,,02/28/2007,5.34813,,02/28/2007,1406.82,,POU CN Equity,1.93T,406.26B,100,,WDO CN Equity,225.85B,83.60B,100
01/31/2007,2520.057,,01/31/2007,378.4,,01/31/2007,5.36,,01/31/2007,1438.24,,MEDC IJ Equity,1.77T,758.29B,87.53,,NGQ CN Equity,218.97B,0,
12/29/2006,2660.576,,12/29/2006,368.86,,12/29/2006,5.36,,12/29/2006,1418.3,,GNE NZ Equity,1.74T,98.91B,4.75,,SLR AU Equity,207.22B,,
11/30/2006,2835.199,,11/30/2006,376,,11/30/2006,5.37,,11/30/2006,1400.63,,GPOR US Equity,1.73T,1.25T,100,,661 HK Equity,202.97B,1.85T,27.22
10/31/2006,2677.548,,10/31/2006,351.48,,10/31/2006,5.37063,,10/31/2006,1377.94,,CRZO US Equity,1.67T,851.74B,100,,HRT CN Equity,202.47B,0,
09/29/2006,2904.383,,09/29/2006,348.46,,09/29/2006,5.37,,09/29/2006,1335.85,,FEC CN Equity,1.62T,1.42T,100,,LC PM Equity,197.85B,34.94B,96.37
08/31/2006,3322.911,,08/31/2006,364.32,,08/31/2006,5.3975,,08/31/2006,1303.82,,MEG CN Equity,1.61T,2.11T,100,,GCY AU Equity,191.26B,,
07/31/2006,3577.798,,07/31/2006,369.96,,07/31/2006,5.46563,,07/31/2006,1276.66,,1662 JP Equity,1.57T,1.67T,76.14,,3330 HK Equity,188.96B,27.01B,2.55
06/30/2006,3595.791,,06/30/2006,358.13,,06/30/2006,5.48063,,06/30/2006,1270.2,,MARI PA Equity,1.56T,1.05T,100,,HUM LN Equity,176.37B,0,
